Month,Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Customer_ID_Number,Binary_credit_mix,Credit_History_Age_by_year,No Loan,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,Not Specified,Payday Loan,Personal Loan,Student Loan
1,36.0,10.0,15377.55,3,4,5,3.0,2,10.0,0.51,8.0,678.99,33.05,0,28.99,74.6,5,297.26,1825,1,28.0,0,1,0,0,0,1,1,0,0,0
1,23.0,12.0,15680.0,7,9,16,4.0,45,18.0,8.55,15.0,1823.34,35.76,2,27.05,14.58,1,355.53,1007,0,18.0,0,1,1,0,0,0,0,0,0,0
3,36.0,15.0,17222.53,8,4,18,0.0,10,22.0,23.38,5.0,1163.47,23.94,2,0.0,17.52,1,392.2,12232,0,29.0,1,0,0,0,0,0,0,0,0,0
2,39.0,11.0,28838.96,3,1,1587,1.0,1,10.0,3.45,5.0,221.7,34.15,1,21.19,,3,349.25,3708,1,31.0,0,0,1,0,0,0,0,0,0,0
4,35.0,10.0,179987.28,5,5,8,4.0,14,11.0,0.54,2.0,741.28,29.28,1,772.38,349.19,1,954.66,1962,1,21.0,0,1,1,0,0,1,0,0,1,0
2,54.0,13.0,34279.21,5,2,11,3.0,14,10.0,4.83,0.0,1133.21,27.24,1,64.81,70.74,2,388.61,6420,1,32.0,0,0,0,0,1,0,0,1,0,1
1,22.0,11.0,164189.48,5,3,9,1.0,12,10.0,13.56,2.0,993.17,36.61,1,72.71,858.05,5,697.79,8051,1,26.0,0,0,0,0,0,0,0,0,0,1
4,56.0,11.0,60919.84,0,6,7,3.0,12,2.0,11.88,1.0,1338.17,38.01,1,48066.0,,1,539.44,8187,1,20.0,0,1,0,1,1,0,0,0,0,0
2,28.0,6.0,87416.52,2,7,6,610.0,4,1.0,6.67,5.0,814.52,39.5,1,151.86,283.29,2,518.62,6985,1,18.0,0,0,1,1,0,0,0,0,1,0
2,43.0,3.0,16632.74,0,3,6,1.0,3,0.0,6.24,7.0,1415.37,31.22,1,7.99,59.4,6,343.51,1514,1,21.0,0,1,0,0,0,0,0,0,0,0
2,44.0,4.0,30710.59,0,7,8,1.0,13,10.0,0.76,5.0,1211.61,31.99,1,82398.0,95.17,3,423.25,8273,1,19.0,0,0,0,0,0,0,1,0,0,0
4,36.0,1.0,19724.81,3,6,12,4.0,5,10.0,3.68,0.0,1369.4,34.55,1,49.94,108.23,4,256.11,10466,1,30.0,0,0,0,0,0,1,0,1,1,0
4,35.0,5.0,143162.64,1,5,8,3.0,8,6.0,7.1,5.0,1303.01,33.71,1,246.99,506.31,2,715.42,3,1,18.0,0,1,0,0,0,0,1,0,0,0
2,21.0,4.0,40377.89,5,7,2,4.0,10,4.0,3.35,4.0,1410.14,35.68,0,119.14,36.77,1,404.77,6525,1,28.0,0,1,0,1,0,0,1,0,0,0
2,34.0,8.0,20587.96,8,5,12,2.0,30,6.0,13.87,3.0,854.63,24.82,2,26.53,62.96,2,355.88,7287,0,18.0,0,0,0,1,0,0,0,1,0,0
1,31.0,2.0,67978.8,9,5,27,9.0,39,15.0,18.41,,4683.95,33.43,2,301.99,644.14,6,,7938,0,9.0,0,1,1,0,1,1,1,0,0,1
1,38.0,12.0,26508.58,5,7,12,3.0,17,20.0,10.54,4.0,1356.64,32.98,1,35.37,211.66,4,272.97,3538,1,27.0,0,0,1,1,1,0,0,0,0,0
2,45.0,10.0,78570.64,6,7,22,9.0,53,19.0,13.65,13.0,2627.87,39.89,2,449.89,70.09,1,362.58,10641,0,2.0,0,0,0,1,1,0,1,0,1,1
3,42.0,8.0,31200.24,2,3,1,3.0,10,6.0,6.64,4.0,14.34,39.47,1,71.67,168.33,4,288.8,4877,1,23.0,0,0,0,0,0,0,1,0,1,1
2,23.0,11.0,88827.66,3,1,4,0.0,2,10.0,11.16,5.0,1061.08,39.44,1,0.0,273.8,2,721.83,12114,1,16.0,1,0,0,0,0,0,0,0,0,0
4,27.0,1.0,38624.06,0,5,11,4.0,6,10.0,4.19,6.0,1394.46,29.01,1,78.45,144.0,3,341.92,3678,1,16.0,0,0,1,1,1,0,0,0,0,1
4,24.0,1.0,27138.97,6,4,8,4.0,7,20.0,8.01,9.0,1190.67,27.02,2,70.78,179.64,6,284.94,8421,0,8.0,0,1,0,0,0,1,0,1,1,0
3,27.0,1.0,30093.32,2,4,11,1.0,4,5.0,8.94,4.0,22.88,35.35,1,150.43,173.98,6,340.82,3067,1,27.0,0,0,0,0,0,0,0,0,1,0
3,38.0,1.0,23026.48,6,6,7,4.0,5,20.0,9.66,2223.0,328.81,29.76,1,68.5,88.62,3,281.87,9490,1,32.0,0,1,0,0,1,0,0,1,1,0
1,26.0,8.0,18670.22,9,10,25,7.0,53,20.0,23.68,12.0,4748.43,26.16,2,101.62,102.7,6,215.87,8767,0,0.0,0,1,0,1,1,1,1,0,0,0
1,53.0,3.0,31460.89,3,4,2,1.0,7,4.0,8.43,3.0,661.01,35.56,0,23.86,91.1,6,423.11,11615,1,28.0,0,0,0,0,0,0,0,0,0,1
1,32.0,7.0,19215.26,4,6,7,2.0,5,14.0,12.15,8.0,1895.14,28.39,2,20.05,154.08,6,251.19,9980,0,14.0,0,0,1,0,1,0,0,0,0,0
3,36.0,4.0,63213.12,4,4,9,4.0,14,9.0,8.47,7.0,584.85,33.41,1,166.12,205.33,2,401.93,7106,1,23.0,0,0,0,0,0,0,1,1,0,1
3,49.0,9.0,12593.76,3,5,5,1.0,9,12.0,11.43,2.0,1211.15,37.13,0,6.79,146.49,6,245.27,3000,0,22.0,0,0,0,0,0,0,0,1,0,0
3,53.0,5.0,29491.67,5,3,3,1.0,13,8.0,2.63,5.0,862.64,34.0,1,14.67,56.92,4,416.27,10275,1,30.0,0,0,0,0,0,0,0,1,0,0
2,49.0,10.0,125788.8,5,1,4,1.0,12,9.0,7.63,4.0,1454.08,42.08,1,64.06,142.46,2,1105.61,11350,1,25.0,0,0,0,0,0,1,0,0,0,0
4,33.0,1.0,85543.0,5,8,2,4.0,8,8.0,8.44,7.0,1070.94,34.94,0,269.24,198.25,2,465.47,3309,1,29.0,0,0,1,0,1,0,0,0,0,1
4,45.0,9.0,34476.68,6,7,24,8.0,36,17.0,4.48,16.0,1976.63,27.12,2,171.18,,6,240.34,12307,0,11.0,0,1,0,1,0,1,1,0,1,1
2,46.0,11.0,20813.98,3,7,12,7.0,13,15.0,12.66,10.0,720.08,25.11,2,83.33,138.71,6,216.41,5402,0,18.0,0,0,1,1,1,0,1,0,1,1
3,37.0,5.0,82240.98,3,5,3,1.0,9,3.0,10.9,5.0,624.62,26.66,0,928.25,274.9,2,616.64,11785,1,25.0,0,0,0,0,1,0,0,0,0,0
3,34.0,11.0,8108.77,6,3,34,6.0,13,0.0,10.62,12.0,2004.87,30.2,2,29.75,21.28,6,292.54,8924,0,6.0,0,1,1,0,1,1,0,1,0,0
3,54.0,7.0,49962.42,7,7,15,3.0,25,17.0,3.71,6.0,1175.81,35.87,1,67.46,83.46,1,489.83,6054,0,32.0,0,0,1,0,0,1,1,0,0,0
