Month,Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Customer_ID_Number,Binary_credit_mix,Credit_History_Age_by_year,No Loan,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,Not Specified,Payday Loan,Personal Loan,Student Loan
4,23.0,1.0,32507.76,6,3,10,3.0,16,14.0,2.81,7.0,384.04,29.61,2,53.12,167.37,4,341.4,11346,0,19.0,0,1,1,1,0,0,0,0,0,0
1,38.0,11.0,109607.43,7,3,18,4.0,23,14.0,14.76,9.0,852.74,31.47,2,230.2,153.62,1,787.08,10438,0,22.0,0,1,0,0,1,0,1,0,0,0
1,24.0,8.0,59103.06,8,6,7,0.0,29,7.0,5.57,7.0,1428.53,39.23,1,0.0,108.09,1,612.53,5144,1,16.0,1,0,0,0,0,0,0,0,0,0
2,34.0,1.0,82647.69,3,4,1877,3.0,27,11.0,10.57,7.0,1485.52,37.79,2,186.26,95.09,1,655.39,12298,0,15.0,0,0,0,0,1,1,0,0,0,0
1,28.0,6.0,74732.96,7,6,33,8.0,25,15.0,19.45,10.0,2860.18,38.01,2,550.68,468.31,4,133.42,7645,0,13.0,0,0,1,1,0,1,1,1,1,0
1,45.0,15.0,62509.84,10,10,28,9.0,61,25.0,18.13,,3149.82,29.04,2,354.42,0.0,1,292.26,11453,0,10.0,0,1,0,0,1,1,0,0,1,1
4,21.0,6.0,41735.55,0,3,8,4.0,14,6.0,11.25,205.0,1480.92,34.24,1,109.61,255.11,5,251.07,131,1,25.0,0,0,0,1,0,0,1,1,0,0
2,39.0,4.0,62983.02,5,3,20,6.0,9,10.0,13.14,8.0,1469.91,31.42,2,199.48,164.16,4,458.91,2624,0,7.0,0,0,0,1,0,1,1,1,1,0
3,33.0,3.0,67223.07,3,3,10,2.0,15,22.0,10.43,3.0,312.59,38.22,1,69.3,366.97,3,408.32,4255,0,26.0,0,0,1,0,0,0,0,1,0,0
3,25.0,3.0,37346.16,0,5,7,1.0,13,8.0,9.2,1.0,1276.04,35.78,1,18.18,183.19,3,361.45,5877,1,18.0,0,0,1,0,0,0,0,0,0,0
2,27.0,3.0,56285.44,5,5,12,3.0,10,1.0,8.25,1641.0,29.18,29.86,1,106.76,649.15,6,33.13,1703,1,21.0,0,0,1,0,0,0,0,0,1,0
4,20.0,10.0,81338.16,11,10,33,8.0,56,12.0,19.26,14.0,4455.19,32.32,2,356.77,329.18,6,268.27,9556,0,14.0,0,1,1,1,0,1,0,0,1,0
4,32.0,10.0,44483.64,8,10,17,8.0,27,16.0,20.12,8.0,2770.15,33.33,2,160.26,113.42,2,344.42,397,0,12.0,0,0,1,0,0,1,0,1,1,0
3,27.0,7.0,43802.1,10,5,33,6.0,42,8.0,11.52,14.0,2156.04,29.21,2,167.9,146.97,2,281.95,7264,0,10.0,0,0,1,1,1,1,0,1,0,0
3,24.0,7.0,42384.08,3,4,4,0.0,23,22.0,11.55,,887.44,40.48,1,0.0,65.26,1,504.34,910,0,24.0,1,0,0,0,0,0,0,0,0,0
1,32.0,10.0,9491.02,9,9,24,6.0,32,25.0,7.91,7.0,4836.24,36.95,2,26.27,27.18,3,293.14,9410,0,3.0,0,0,1,1,0,0,0,1,0,0
3,34.0,1.0,122332.04,1,1,8,0.0,8,8.0,7.41,7.0,605.35,32.88,1,1091.01,1051.5,5,259.53,9013,1,18.0,1,0,0,0,0,0,0,0,0,0
3,48.0,1.0,17787.34,8,4,16,2.0,5,15.0,5.65,2.0,730.9,24.47,1,20.06,158.16,6,236.0,81,0,30.0,0,1,0,0,0,0,0,0,0,1
2,29.0,3.0,23459.45,8,5,9,2.0,13,10.0,9.56,5.0,264.07,24.23,2,26.61,62.17,2,373.42,2213,0,25.0,0,0,0,0,1,1,0,0,0,0
3,45.0,11.0,35911.33,3,3,2,2.0,9,16.0,5.5,8.0,739.82,24.02,0,39.11,75.41,1,425.84,7704,0,18.0,0,0,0,0,1,0,1,0,0,0
2,39.0,15.0,10361.92,6,5,32,7.0,53,18.0,24.92,7.0,3293.1,32.68,2,44.01,56.35,5,246.29,1347,0,2.0,0,1,0,1,0,0,0,1,1,1
3,46.0,3.0,151854.56,3,4,9,3.0,9,2.0,11.42,2.0,1205.6,41.1,1,316.48,500.27,5,707.9,9260,1,16.0,0,1,0,0,0,0,1,0,0,0
1,36.0,8.0,34483.9,8,7,29,9.0,61,16.0,2.12,13.0,4386.53,32.27,2,183.99,99.88,2,227.49,3644,0,13.0,0,0,1,1,1,0,0,1,1,1
3,33.0,9.0,31417.15,3,6,18,3.0,26,13.0,17.26,0.0,362.31,38.62,2,64.19,103.14,2,349.08,7300,0,21.0,0,0,0,0,1,0,1,1,0,0
