Month,Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Customer_ID_Number,Binary_credit_mix,Binary_Credit_Score,Credit_History_Age_by_year,No Loan,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,Not Specified,Payday Loan,Personal Loan,Student Loan
7,23.0,13.0,19114.12,3.0,4.0,3.0,4.0,3.0,8.0,11.27,4.0,809.98,22.54,1,49.57,178.34,6,244.57,1,0,1,22,0,1,1,0,1,0,0,0,1,0
2,28.0,14.0,34847.84,2.0,4.0,6.0,1.0,7.0,1.0,7.42,2.0,605.03,38.55,1,18.82,40.39,1,484.59,2,0,1,26,0,0,1,0,0,0,0,0,0,0
5,28.0,14.0,34847.84,2.0,4.0,6.0,1.0,3.0,1.0,6.42,2.0,605.03,34.98,1,18.82,130.12,6,444.87,2,0,1,26,0,0,1,0,0,0,0,0,0,0
6,28.0,14.0,34847.84,2.0,4.0,6.0,1.0,3.0,0.0,5.42,2.0,605.03,33.38,1,18.82,43.48,1,481.51,2,0,1,27,0,0,1,0,0,0,0,0,0,0
8,28.0,14.0,34847.84,2.0,4.0,6.0,1.0,3.0,4.0,5.42,2.0,605.03,32.93,1,18.82,218.9,6,356.08,2,0,1,27,0,0,1,0,0,0,0,0,0,0
5,34.0,5.0,143162.64,1.0,5.0,8.0,3.0,10.0,5.0,7.1,3.0,1303.01,31.38,1,246.99,430.95,4,810.78,3,0,1,18,0,1,0,0,0,0,1,0,0,0
6,34.0,5.0,143162.64,1.0,5.0,8.0,967.0,8.0,6.0,7.1,3.0,1303.01,39.78,1,246.99,257.81,2,963.92,3,0,1,18,0,1,0,0,0,0,1,0,0,0
1,33.0,8.0,131313.4,0.0,1.0,8.0,2.0,0.0,3.0,9.34,2.0,352.16,32.2,0,137.64,378.17,2,858.46,5,0,1,30,0,0,1,0,0,1,0,0,0,0
2,34.0,8.0,131313.4,0.0,1.0,8.0,2.0,-1.0,2.0,15.34,4.0,352.16,31.98,1,137.64,698.87,3,547.76,5,0,1,30,0,0,1,0,0,1,0,0,0,0
3,34.0,8.0,131313.4,0.0,1.0,8.0,2.0,0.0,3.0,9.34,4.0,352.16,31.8,0,911.22,188.06,1,1038.57,5,0,1,30,0,0,1,0,0,1,0,0,0,0
