Month,Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Customer_ID_Number,Binary_credit_mix,Binary_Credit_Score,Credit_History_Age_by_year,No Loan,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,Not Specified,Payday Loan,Personal Loan,Student Loan
7,23.0,13.0,19114.12,3.0,4.0,3.0,4.0,3.0,8.0,11.27,4.0,809.98,22.54,1,49.57,178.34,6,244.57,1,0,1,22,0,1,1,0,1,0,0,0,1,0
1,28.0,14.0,34847.84,2.0,4.0,6.0,1.0,3.0,4.0,5.42,2.0,605.03,24.46,1,18.82,104.29,6,470.69,2,0,0,26,0,0,1,0,0,0,0,0,0,0
2,28.0,14.0,34847.84,2.0,4.0,6.0,1.0,7.0,1.0,7.42,2.0,605.03,38.55,1,18.82,40.39,1,484.59,2,0,1,26,0,0,1,0,0,0,0,0,0,0
5,28.0,14.0,34847.84,2.0,4.0,6.0,1.0,3.0,1.0,6.42,2.0,605.03,34.98,1,18.82,130.12,6,444.87,2,0,1,26,0,0,1,0,0,0,0,0,0,0
6,28.0,14.0,34847.84,2.0,4.0,6.0,1.0,3.0,0.0,5.42,2.0,605.03,33.38,1,18.82,43.48,1,481.51,2,0,1,27,0,0,1,0,0,0,0,0,0,0
8,28.0,14.0,34847.84,2.0,4.0,6.0,1.0,3.0,4.0,5.42,2.0,605.03,32.93,1,18.82,218.9,6,356.08,2,0,1,27,0,0,1,0,0,0,0,0,0,0
5,34.0,5.0,143162.64,1.0,5.0,8.0,3.0,10.0,5.0,7.1,3.0,1303.01,31.38,1,246.99,430.95,4,810.78,3,0,1,18,0,1,0,0,0,0,1,0,0,0
6,34.0,5.0,143162.64,1.0,5.0,8.0,967.0,8.0,6.0,7.1,3.0,1303.01,39.78,1,246.99,257.81,2,963.92,3,0,1,18,0,1,0,0,0,0,1,0,0,0
8,34.0,5.0,143162.64,1.0,5.0,8.0,3.0,8.0,6.0,7.1,3.0,1303.01,38.37,1,246.99,183.8098859794259,3,895.49,3,0,0,18,0,1,0,0,0,0,1,0,0,0
1,54.0,6.0,30689.89,2.0,5.0,4.0,1.0,0.0,6.0,1.99,4.0,632.46,26.54,1,16.42,81.23,4,433.6,4,0,0,17,0,0,0,0,0,0,1,0,0,0
2,54.0,6.0,30689.89,2.0,5.0,4.0,1.0,5.0,3.0,1.99,4.0,632.46,35.28,1,16.42,124.88,6,409.95,4,0,0,17,0,0,0,0,0,0,1,0,0,0
3,55.0,6.0,30689.89,2.0,5.0,4.0,1.0,3.0,9.0,1.99,4.0,632.46,32.3,0,16.42,83.41,2,411.43,4,0,0,17,0,0,0,0,0,0,1,0,0,0
4,55.0,6.0,30689.89,2.0,5.0,4.0,1.0,7.0,6.0,-2.01,4.0,632.46,38.13,1,16.42,272.33,6,262.5,4,0,0,17,0,0,0,0,0,0,1,0,0,0
5,55.0,6.0,30689.89,2.0,5.0,4.0,1.0,5.0,6.0,-1.01,4.0,632.46,41.15,1,16.42,183.8098859794259,4,359.37,4,0,0,17,0,0,0,0,0,0,1,0,0,0
1,33.0,8.0,131313.4,0.0,1.0,8.0,2.0,0.0,3.0,9.34,2.0,352.16,32.2,0,137.64,378.17,2,858.46,5,0,1,30,0,0,1,0,0,1,0,0,0,0
2,34.0,8.0,131313.4,0.0,1.0,8.0,2.0,-1.0,2.0,15.34,4.0,352.16,31.98,1,137.64,698.87,3,547.76,5,0,1,30,0,0,1,0,0,1,0,0,0,0
3,34.0,8.0,131313.4,0.0,1.0,8.0,2.0,0.0,3.0,9.34,4.0,352.16,31.8,0,911.22,188.06,1,1038.57,5,0,1,30,0,0,1,0,0,1,0,0,0,0
4,34.0,8.0,131313.4,0.0,1.0,8.0,2.0,0.0,2.0,8.34,4.0,352.16,42.65,1,23834.0,337.43,2,899.2,5,0,1,30,0,0,1,0,0,1,0,0,0,0
5,34.0,8.0,131313.4,0.0,1.0,8.0,2.0,0.0,4.0,9.34,4.0,352.16,40.9,1,32662.0,263.38,1,963.25,5,0,1,30,0,0,1,0,0,1,0,0,0,0
8,34.0,8.0,131313.4,0.0,1.0,8.0,2.0,0.0,2.0,9.34,4.0,352.16,29.19,1,911.22,870.52,5,396.11,5,0,1,31,0,0,1,0,0,1,0,0,0,0
5,23.0,4.0,114838.41,2.0,5.0,7.0,3.0,11.0,11.0,11.24,8.0,1377.74,29.82,1,226.89,649.81,3,367.68,7,0,0,21,0,1,0,1,0,0,0,0,1,0
8,24.0,4.0,114838.41,2.0,5.0,7.0,3.0,11.0,11.0,8.24,8.0,1377.74,27.81,1,226.89,254.57,1,742.92,7,0,0,21,0,1,0,1,0,0,0,0,1,0
2,44.0,7.0,31370.8,1.0,6.0,12.0,2.0,2.0,0.0,-1.24,2.0,421.43,28.22,1,46.62,298.74,6,227.16,8,0,1,26,0,0,0,0,0,0,1,1,0,0
3,44.0,7.0,31370.8,1.0,6.0,12.0,2.0,-2.0,0.0,1.76,5.0,421.43,31.05,1,46.62,140.82,5,375.09,8,0,1,26,0,0,0,0,0,0,1,1,0,0
2,40.0,14.0,33751.27,5.0,5.0,20.0,3.0,16.0,20.0,11.0,4.0,1328.93,30.91,2,65.01,70.13,1,399.72,9,1,0,19,0,1,1,0,0,0,0,0,1,0
4,40.0,14.0,33751.27,5.0,5.0,20.0,3.0,17.0,22.0,11.0,8.0,1328.93,23.4,2,65.01,25.19,1,444.66,9,1,0,19,0,1,1,0,0,0,0,0,1,0
5,40.0,14.0,33751.27,5.0,5.0,20.0,3.0,16.0,20.0,8.0,8.0,1328.93,29.07,2,65.01,243.33,6,276.52,9,1,0,19,0,1,1,0,0,0,0,0,1,0
6,40.0,14.0,33751.27,5.0,5.0,20.0,3.0,16.0,20.0,11.0,8.0,1328.93,32.78,2,65.01,72.86,2,406.99,9,1,0,19,0,1,1,0,0,0,0,0,1,0
1,32.0,5.0,88640.24,3.0,6.0,1.0,2.0,-1.0,0.0,3.51,3.0,950.36,28.21,1,135.17,98.93,1,732.56,10,0,0,25,0,0,0,0,0,0,0,1,0,0
2,33.0,5.0,88640.24,3.0,6.0,433.0,2.0,4.0,2.0,3.51,3.0,950.36,41.04,0,135.17,157.17,1,674.32,10,0,1,25,0,0,0,0,0,0,0,1,0,0
3,33.0,5.0,88640.24,3.0,6.0,1.0,2.0,4.0,0.0,3.51,3.0,950.36,34.67,1,135.17,298.19,2,543.31,10,0,0,25,0,0,0,0,0,0,0,1,0,0
5,33.0,5.0,88640.24,3.0,6.0,1.0,2.0,4.0,2.0,3.51,3.0,950.36,34.7,1,135.17,279.62,2,561.88,10,0,1,25,0,0,0,0,0,0,0,1,0,0
6,33.0,5.0,88640.24,3.0,6.0,1.0,2.0,4.0,0.0,3.51,3.0,950.36,38.32,1,135.17,686.13,6,195.37,10,0,1,25,0,0,0,0,0,0,0,1,0,0
1,35.0,6.0,54392.16,6.0,4.0,14.0,3.0,10.0,8.0,5.54,3.0,179.22,25.65,2,124.39,243.74,4,378.54,11,1,0,26,0,0,0,0,0,0,1,0,1,1
2,35.0,6.0,54392.16,6.0,4.0,14.0,3.0,10.0,10.0,4.54,3.0,179.22,29.41,2,124.39,142.75,2,459.52,11,1,0,26,0,0,0,0,0,0,1,0,1,1
4,35.0,6.0,54392.16,6.0,4.0,14.0,3.0,10.0,7.0,0.54,3.0,179.22,27.19,2,124.39,494.84,6,147.43,11,1,0,27,0,0,0,0,0,0,1,0,1,1
5,35.0,6.0,54392.16,6.0,4.0,14.0,3.0,10.0,8.0,11.54,3.0,179.22,34.6,2,124.39,233.12,6,409.16,11,1,0,27,0,0,0,0,0,0,1,0,1,1
7,36.0,6.0,54392.16,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,179.22,35.11,2,124.39,158.11,4,464.16,11,1,0,27,0,0,0,0,0,0,1,0,1,1
8,36.0,6.0,54392.16,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,179.22,32.88,2,124.39,495.12,6,147.16,11,1,0,27,0,0,0,0,0,0,1,0,1,1
2,39.0,9.0,8701.54,6.0,5.0,32.0,7.0,23.0,9.0,8.86,6.0,2602.69,39.9,2,36.55,34.72,4,250.65,12,1,0,9,0,1,0,0,1,0,0,1,1,1
4,39.0,9.0,8701.54,6.0,5.0,32.0,7.0,22.0,7.0,8.86,6.0,2602.69,32.1,2,36.55,20.39,6,284.97,12,1,0,9,0,1,0,0,1,0,0,1,1,1
5,39.0,9.0,8701.54,6.0,5.0,32.0,7.0,22.0,9.0,8.86,6.0,2602.69,37.17,2,36.55,50.49,6,254.88,12,1,0,9,0,1,0,0,1,0,0,1,1,1
